username: pragadeesh | problem_nick: Fault_in_our_stars | 0
username: pragadeesh | problem_nick: faul_in_our_stars_2 |  No submission
username: pragadeesh | problem_nick: fault_in_codes_3 |  No submission
username: server | problem_nick: Fault_in_our_stars |  No submission
username: server | problem_nick: faul_in_our_stars_2 |  No submission
username: server | problem_nick: fault_in_codes_3 |  No submission
username: pragadeesh | problem_nick: Fault_in_our_stars | 0
username: pragadeesh | problem_nick: faul_in_our_stars_2 |  No submission
username: pragadeesh | problem_nick: fault_in_codes_3 |  No submission
username: server | problem_nick: Fault_in_our_stars |  No submission
username: server | problem_nick: faul_in_our_stars_2 |  No submission
username: server | problem_nick: fault_in_codes_3 |  No submission
